alpha,h,success
0.8081445131490417,0.0009663590672311512,1
0.8091108722162729,0.0004831795336155756,0
0.8086276926826572,0.0007247693004233634,1
0.8093524619830805,0.001087153950635045,1
0.8104396159337156,0.0016307309259525676,1
0.8120703468596682,0.0008153654629762838,0
0.8112549813966919,0.0012230481944644257,1
0.8124780295911563,0.0018345722916966387,1
0.8143126018828529,0.002751858437544958,1
0.8170644603203979,0.001375929218772479,0
0.8156885311016254,0.0006879646093862395,0
0.8150005664922392,0.0010319469140793592,1
0.8160325134063185,0.0015479203711190389,1
0.8175804337774376,0.0023218805566785584,1
0.8199023143341162,0.0034828208350178376,1
0.823385135169134,0.0017414104175089188,0
0.8216437247516252,0.0008707052087544594,0
0.8207730195428706,0.0004353526043772297,0
0.8203376669384934,0.00021767630218861485,0
0.8201199906363048,0.00010883815109430743,0
0.8200111524852105,0.00016325722664146114,1
0.820174409711852,0.00024488583996219173,1
0.8204192955518141,0.0003673287599432876,1
0.8207866243117574,0.0001836643799716438,0
0.8206029599317858,0.0002754965699574657,1
0.8208784565017433,0.00041324485493619855,1
0.8212917013566795,0.00020662242746809928,0
0.8210850789292113,0.0003099336412021489,1
0.8213950125704135,0.00046490046180322334,1
0.8218599130322167,0.00023245023090161167,0
0.821627462801315,0.0003486753463524175,1
0.8219761381476675,0.0005230130195286262,1
0.8224991511671961,0.0007845195292929394,1
0.823283670696489,0.001176779293939409,1
0.8244604499904284,0.0005883896469697045,0
0.8238720603434587,0.0008825844704545568,1
0.8247546448139133,0.001323876705681835,1
0.826078521519595,0.0019858150585227528,1
0.8280643365781178,0.0009929075292613764,0
0.8270714290488564,0.0004964537646306882,0
0.8265749752842257,0.0007446806469460323,1
0.8273196559311717,0.0011170209704190483,1
0.8284366769015908,0.0016755314556285725,1
0.8301122083572194,0.0008377657278142862,0
0.8292744426294051,0.0004188828639071431,0
0.828855559765498,0.0006283242958607147,1
0.8294838840613586,0.000942486443791072,1
0.8304263705051497,0.0014137296656866081,1
0.8318401001708363,0.002120594498529912,1
0.8339606946693662,0.0031808917477948685,1
0.8371415864171611,0.004771337621692302,1
0.8419129240388534,0.002385668810846151,0
0.8395272552280072,0.0035785032162692267,1
0.8431057584442764,0.00536775482440384,1
0.8484735132686803,0.00268387741220192,0
0.8457896358564783,0.00402581611830288,1
0.8498154519747811,0.006038724177454321,1
0.8558541761522355,0.0030193620887271604,0
0.8528348140635083,0.0015096810443635802,0
0.8513251330191447,0.0022645215665453703,1
0.85358965458569,0.0033967823498180557,1
0.8569864369355081,0.0050951735247270835,1
0.8620816104602352,0.007642760287090626,1
0.8697243707473259,0.003821380143545313,0
0.8659029906037805,0.0019106900717726564,0
0.8639923005320079,0.0009553450358863282,0
0.8630369554961216,0.0004776725179431641,0
0.8625592829781784,0.0007165087769147461,1
0.8632757917550932,0.001074763165372119,1
0.8643505549204653,0.0016121447480581786,1
0.8659626996685235,0.0024182171220872677,1
0.8683809167906107,0.0036273256831309015,1
0.8720082424737416,0.0018136628415654507,0
0.8701945796321762,0.002720494262348176,1
0.8729150738945244,0.004080741393522264,1
0.8769958152880466,0.002040370696761132,0
0.8749554445912855,0.003060556045141698,1
0.8780160006364272,0.004590834067712547,1
0.8826068347041397,0.0068862511015688205,1
0.8894930858057085,0.010329376652353232,1
0.8998224624580617,0.005164688326176616,0
0.8946577741318852,0.007747032489264924,1
0.9024048066211501,0.011620548733897385,1
0.9140253553550475,0.005810274366948693,0
0.9082150809880988,0.0029051371834743463,0
0.9053099438046244,0.0014525685917371732,0
0.9038573752128872,0.0007262842958685866,0
0.9031310909170187,0.0003631421479342933,0
0.9027679487690844,0.00054471322190144,1
0.9033126619909858,0.00081706983285216,1
0.9041297318238379,0.00122560474927824,1
0.9053553365731162,0.0018384071239173601,1
0.9071937436970335,0.00275761068587604,1
0.9099513543829095,0.00413641602881406,1
0.9140877704117236,0.00206820801440703,0
0.9120195623973165,0.0031023120216105452,1
0.9151218744189271,0.0046534680324158174,1
0.919775342451343,0.006980202048623726,1
0.9267555444999667,0.010470303072935588,1
0.9372258475729023,0.005235151536467794,0
0.9319906960364345,0.007852727304701691,1
0.9398434233411361,0.003926363652350846,0
0.9359170596887854,0.001963181826175423,0
0.9339538778626099,0.0009815909130877114,0
0.9329722869495222,0.0014723863696315671,1
0.9344446733191537,0.0022085795544473505,1
0.936653252873601,0.0011042897772236752,0
0.9355489630963774,0.0016564346658355128,1
0.9372053977622129,0.0024846519987532694,1
0.9396900497609662,0.0012423259993766347,0
0.9384477237615896,0.001863488999064952,1
0.9403112127606545,0.000931744499532476,0
0.9393794682611221,0.001397616749298714,1
0.9407770850104208,0.000698808374649357,0
0.9400782766357714,0.0010482125619740354,1
0.9411264891977454,0.001572318842961053,1
0.9426988080407065,0.0023584782644415795,1
0.9450572863051481,0.0035377173966623693,1
0.9485950037018105,0.005306576094993554,1
0.953901579796804,0.00795986414249033,1
0.9618614439392943,0.003979932071245165,0
0.9578815118680492,0.0019899660356225827,0
0.9558915458324266,0.0029849490534338743,1
0.9588764948858605,0.004477423580150811,1
0.9633539184660113,0.0067161353702262176,1
0.9700700538362375,0.010074203055339327,1
0.9801442568915768,0.01511130458300899,1
0.9952555614745858,0.022666956874513484,1
1.0,0.03400043531177023,1
